"00322","ID027","NAMPA          ","HILLCREST MEM           "
"00323","MA017","EVERETT        ","GLENWOOD CM             "
"00324","CT003","FARMINGTON     ","RIVERSIDE CM            "
"00325","NY057","AMSTERDAM      ","FAIRVIEW CM             "
"00326","CT003","BURLINGTON     ","CENTER CM               "
"00327","CT003","HARTFORD       ","CEDAR HILL CM           "
"00329","CT003","WEST HARTFORD  ","FAIRVIEW CM             "
"00330","NJ029","TOMS RIVER     ","RIVERSIDE CM            "
"00331","CT   ","NORTHPORT      ","NORTHPORT CM            "
"00332","MI021","ST JOSEPH      ","LAKEVIEW CM             "
"00333","CT011","POQUONOCK      ","SMITH LAKE              "
"00334","FL095","ORLANDO        ","WOODLAWN CM             "
"00335","NY051","YORK           ","MT PLEASANT CM          "
"00336","CT009","N BRANFORD     ","BARE PLAIN CM           "
"00337","CT011","GROTON         ","POQUONOC CM             "
"00338","PA101","PHILADELPHIA   ","CEDAR ST PRS CM         "
"00339","NY003","WELLSVILLE     ","JOHNSON CM              "
"00340","MA017","BELMONT        ","BELMONT CM              "
"00341","PA105","COUDERSPORT    ","EULALIA CM              "
"00342","CT003","KENSINGTON     ","WEST LANE CM            "
"00343","CT011","LEDYARD        ","AVERY CM                "
"00344","PA101","PHILADELPHIA   ","MONUMENT CM             "
"00345","PA101","GERMANTOWN     ","LUTHERAN CM             "
"00346","MA017","WALTHAM        ","GROVE HILL CM           "
"00347","PA101","PHILADELPHIA   ","LEBANON CM              "
"00348","NY101","HORNELL        ","HOPE CM                 "
"00349","PA101","KENSINGTON     ","MUTUAL CM               "
"00350","NY107","BARTON         ","METH CH CM              "
"00351","CT001","WESTPORT       ","WESTPORT                "
"00352","NH007","LANCASTER      ","LANCASTER               "
"00353","CT001","GREENWICH      ","UNION CM                "
"00354","CT009","NEW HAVEN      ","WESTVILLE CM            "
"00355","MA003","LEE            ","TOWN CM                 "
"00356","NY119","VALHALLA       ","KENSICO CM              "
"00357","PA115","JACKSON TWP    ","GELATT METH CHY         "
"00358","CT005","TORRINGTON     ","HILLSIDE CM             "
"00359","OH165","MORROW         ","MORROW CM               "
"00360","WV017","ARNOLDS CR     ","RULEY CM                "
"00361","MA021","WEYMOUTH       ","FAIRMONT CM             "
"00362","OK097","PRYOR          ","PRYOR CM                "
"00363","OK143","BROKEN ARROW   ","FLORAL HAVEN MEM GARDEN "
"00364","CA059","SANTA ANA      ","FAIRHAVEN MEM P         "
